Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
22/01/2021;-0,80%;1,37%;2,14%;-0,27%;0,63%
21/01/2021;-1,10%;1,12%;0,25%;0,01%;1,59%
20/01/2021;-0,82%;0,50%;0,17%;0,14%;-0,31%
19/01/2021;-0,50%;2,37%;0,30%;0,21%;0,86%
18/01/2021;0,74%;-0,12%;0,14%;0,08%;1,39%
15/01/2021;-2,54%;0,64%;0,18%;0,10%;0,00%
14/01/2021;1,27%;-2,05%;-0,85%;0,11%;-1,75%
13/01/2021;-1,67%;-0,23%;-2,87%;-0,13%;-0,16%
12/01/2021;0,60%;-3,31%;-0,60%;-0,29%;-3,52%
11/01/2021;-1,46%;1,12%;2,39%;-0,13%;1,40%
08/01/2021;2,20%;0,74%;0,47%;0,14%;-2,42%
07/01/2021;2,76%;3,05%;0,47%;-0,22%;1,07%
06/01/2021;-0,23%;1,34%;-0,16%;0,08%;-1,66%
05/01/2021;0,44%;1,00%;3,18%;0,00%;1,84%
04/01/2021;-0,14%;0,36%;-0,66%;-0,09%;3,16%
30/12/2020;-0,33%;0,02%;0,00%;0,53%;-0,31%
29/12/2020;0,24%;-0,71%;0,05%;0,72%;0,31%
28/12/2020;1,12%;2,02%;-0,86%;0,22%;0,96%
23/12/2020;1,00%;1,13%;1,16%;0,76%;2,09%
22/12/2020;0,70%;0,30%;0,10%;0,45%;0,26%
21/12/2020;-1,86%;0,66%;0,52%;0,00%;0,26%
18/12/2020;-0,32%;0,02%;-0,19%;0,67%;-0,29%
17/12/2020;0,46%;-0,15%;1,15%;0,19%;1,96%
16/12/2020;1,47%;0,05%;0,74%;0,12%;0,15%
15/12/2020;1,34%;0,99%;-0,87%;0,22%;0,35%
14/12/2020;-0,45%;0,27%;0,17%;-0,26%;1,19%
11/12/2020;0,00%;0,43%;0,77%;0,04%;-0,17%
10/12/2020;1,88%;-2,39%;-0,22%;-0,11%;-2,64%
09/12/2020;-0,70%;-0,34%;-0,32%;-0,34%;-0,65%
08/12/2020;0,18%;0,88%;-0,50%;-0,12%;0,33%
07/12/2020;-0,14%;-1,12%;0,37%;-0,39%;1,16%
04/12/2020;1,30%;0,44%;-0,19%;-0,23%;-0,43%
03/12/2020;0,37%;-1,13%;-1,33%;0,10%;-0,56%
02/12/2020;0,43%;0,17%;0,16%;-0,21%;0,50%
01/12/2020;2,30%;-1,43%;-1,23%;-0,18%;0,00%
30/11/2020;-1,52%;-0,47%;-0,99%;-0,11%;-0,75%
27/11/2020;0,32%;1,20%;-0,99%;0,40%;-0,49%
26/11/2020;0,09%;-0,24%;-0,33%;0,03%;0,23%
25/11/2020;0,32%;-1,18%;0,55%;0,11%;-0,94%
