Date;LongVolatility;SPY
01/01/2005;100;100
01/02/2005;100.31;101,8903384
01/03/2005;100.63;99,94243484
01/04/2005;99.56;97,93273341
01/05/2005;98.96;100,8660171
01/06/2005;99.05;100,8516258
01/07/2005;100.61;104,4790776
01/08/2005;100.48;103,3066107
01/09/2005;99.84;104,0244821
01/10/2005;102.81;102,1790107
01/11/2005;100.43;105,7742938
01/12/2005;103.95;105,6735547
01/01/2006;105.21;108,3647261
01/02/2006;107.77;108,4138258
01/03/2006;108.08;109,6167684
01/04/2006;107.88;110,9492326
01/05/2006;111.02;107,5190261
01/06/2006;109.69;107,5283381
01/07/2006;106.95;108,0752072
01/08/2006;106.74;110,3744275
01/09/2006;105.39;113,085916
01/10/2006;104.16;116,6490303
01/11/2006;104.37;118,5698443
01/12/2006;104.69;120,065692
01/01/2007;105.94;121,7537058
01/02/2007;105.54;119,0938566
01/03/2007;105.3;120,2824079
01/04/2007;105.96;125,4895155
01/05/2007;105.08;129,5741024
01/06/2007;106.31;127,2655701
01/07/2007;107.59;123,1953745
01/08/2007;109.49;124,7801095
01/09/2007;110.43;129,2464889
01/10/2007;110.78;131,1622237
01/11/2007;113.68;125,3853903
01/12/2007;114.92;124,3035039
01/01/2008;115.79;116,7006696
01/02/2008;119.36;112,6440187
01/03/2008;123.25;111,9727073
01/04/2008;126.05;117,2966384
01/05/2008;119.76;118,5486807
01/06/2008;123.42;108,3579537
01/07/2008;126.12;107,289612
01/08/2008;131.57;108,5975264
01/09/2008;138.76;98,73779915
01/10/2008;149.85;82,0091935
01/11/2008;148.05;75,87088473
01/12/2008;153.51;76,46431383
01/01/2009;168.83;69,91458346
01/02/2009;170.67;62,22878766
01/03/2009;170.51;67,54340667
01/04/2009;168.93;73,88742624
01/05/2009;170.56;77,80947624
01/06/2009;172.22;77,82471408
01/07/2009;170.87;83,59477511
01/08/2009;170.96;86,40023026
01/09/2009;171.46;89,48673885
01/10/2009;173.93;87,71830318
01/11/2009;173.79;92,75017566
01/12/2009;177.6;94,39840172
01/01/2010;173.86;90,90809045
01/02/2010;174.33;93,50021587
01/03/2010;175.62;98,99768893
01/04/2010;173.25;100,4588282
01/05/2010;175.81;92,22362373
01/06/2010;181.14;87,25439569
01/07/2010;183.92;93,25556393
01/08/2010;184.02;88,8306653
01/09/2010;187.28;96,60788812
01/10/2010;190.07;100,1684628
01/11/2010;191.2;99,93904865
01/12/2010;190.53;106,4650757
01/01/2011;195.35;108,8760402
01/02/2011;193.94;112,3553464
01/03/2011;195.09;112,2376764
01/04/2011;199.61;115,4359291
01/05/2011;202.53;113,877437
01/06/2011;200.37;111,7983188
01/07/2011;199.82;109,3975128
01/08/2011;203.33;103,184708
01/09/2011;212.18;95,77996563
01/10/2011;214.37;106,0976745
01/11/2011;212.29;105,560964
