Date;SPY;TailRiskHedge
01/01/2008;100;100,00
01/02/2008;96,52388601;103,06
01/03/2008;95,94864473;102,70
01/04/2008;100,5106827;101,06
01/05/2008;101,5835512;100,05
01/06/2008;92,85118713;99,37
01/07/2008;91,9357304;96,49
01/08/2008;93,05647354;99,39
01/09/2008;84,60774219;100,13
01/10/2008;70,27311376;106,11
01/11/2008;65,01324186;113,33
01/12/2008;65,52174757;113,31
01/01/2009;59,90932383;112,58
01/02/2009;53,3234191;114,26
01/03/2009;57,87747799;112,65
01/04/2009;63,31362908;112,51
01/05/2009;66,67440716;109,33
01/06/2009;66,68746269;109,67
01/07/2009;71,63178543;104,08
01/08/2009;74,03576315;104,84
01/09/2009;76,68057209;105,13
01/10/2009;75,16520781;102,99
01/11/2009;79,47698741;105,62
01/12/2009;80,88933911;110,33
01/01/2010;77,8985159;105,46
01/02/2010;80,11968994;101,04
01/03/2010;84,83043817;101,71
01/04/2010;86,08248198;100,20
01/05/2010;79,02579008;101,95
01/06/2010;74,76769052;107,54
01/07/2010;79,9100495;109,28
01/08/2010;76,11838634;104,82
01/09/2010;82,78263411;107,82
01/10/2010;85,83366838;106,13
01/11/2010;85,63708348;104,42
01/12/2010;91,22918844;106,86
01/01/2011;93,29512774;105,56
01/02/2011;96,27652376;103,23
01/03/2011;96,17569473;101,91
01/04/2011;98,916253;101,78
01/05/2011;97,58078973;100,08
01/06/2011;95,79920882;98,44
01/07/2011;93,74197758;96,79
01/08/2011;88,41826625;97,86
01/09/2011;82,07319601;124,80
01/10/2011;90,91436495;132,84
01/11/2011;90,45446611;125,96
01/12/2011;91,2262923;125,95
01/01/2012;95,20220395;122,87
01/02/2012;99,06641458;119,34
01/03/2012;102,1703967;117,25
01/04/2012;101,4043759;112,14
01/05/2012;95,05132324;108,97
01/06/2012;98,81106995;114,58
01/07/2012;100,055857;109,08
01/08/2012;102,0332972;108,69
01/09/2012;104,5061875;107,05
01/10/2012;102,4380712;103,93
01/11/2012;102,7296797;102,04
01/12/2012;103,4558083;97,97
01/01/2013;108,6728852;96,81
01/02/2013;109,8748643;94,25
01/03/2013;113,8290254;93,34
01/04/2013;115,887708;92,92
01/05/2013;118,2938627;94,04
01/06/2013;116,5195385;93,18
01/07/2013;122,2828299;93,14
01/08/2013;118,4556285;90,41
01/09/2013;121,9796171;90,26
01/10/2013;127,4193901;89,63
01/11/2013;130,9934304;88,11
01/12/2013;134,080016;87,51
01/01/2014;129,3090632;86,18
01/02/2014;134,8844778;86,21
01/03/2014;135,8195211;85,73
01/04/2014;136,6617177;84,14
01/05/2014;139,5357406;83,70
01/06/2014;142,1950564;83,19
01/07/2014;140,0507839;83,82
01/08/2014;145,324437;82,39
01/09/2014;143,0698886;82,25
01/10/2014;146,3893296;81,07
01/11/2014;149,980773;78,86
01/12/2014;149,3525773;81,49
01/01/2015;144,7165471;83,41
01/02/2015;152,6604076;83,36
01/03/2015;150,0047136;81,30
01/04/2015;151,282875;81,58
01/05/2015;152,8700415;79,45
01/06/2015;149,6579737;78,86
01/07/2015;152,6125264;78,45
01/08/2015;143,0619128;75,82
01/09/2015;139,2789577;81,36
01/10/2015;150,8367509;80,77
01/11/2015;150,9129136;77,93
01/12/2015;148,267379;78,03
01/01/2016;140,7449829;75,48
01/02/2016;140,1639362;78,11
01/03/2016;149,4135206;77,32
01/04/2016;149,8168367;74,27
01/05/2016;152,1127287;73,53
01/06/2016;152,2512861;72,35
01/07/2016;157,6729238;70,26
01/08/2016;157,4806929;68,53
01/09/2016;157,2862785;68,53
01/10/2016;154,2308902;66,76
01/11/2016;159,5016537;65,01
01/12/2016;162,4047034;65,14
01/01/2017;165,3092044;66,57
01/02/2017;171,458422;64,72
01/03/2017;171,3916864;64,31
01/04/2017;172,9498391;63,00
01/05/2017;174,9519455;62,23
01/06/2017;175,7941291;61,59
01/07/2017;179,1955382;60,94
01/08/2017;179,293458;59,99
01/09/2017;182,754346;59,22
01/10/2017;186,8093296;59,33
01/11/2017;187,5042609;59,01
01/12/2017;193,9436422;57,63
01/01/2018;204,8391397;57,10
01/02/2018;196,8611922;57,47
01/03/2018;191,5686848;57,31
01/04/2018;192,0895203;56,64
01/05/2018;196,2402533;56,94
01/06/2018;197,1905291;56,47
01/07/2018;204,2936444;55,93
01/08/2018;210,4762297;56,04
01/09/2018;211,3800757;54,64
01/10/2018;196,7095859;54,12
01/11/2018;200,222696;54,00
01/12/2018;181,8468651;53,21
01/01/2019;196,1553825;53,82
01/02/2019;201,9868739;52,55
01/03/2019;205,6073441;53,01
01/04/2019;213,690468;52,85
01/05/2019;199,6344057;52,76
01/06/2019;213,3952311;51,84
01/07/2019;216,1967261;52,63
01/08/2019;212,285373;51,78
01/09/2019;215,9326865;52,11
01/10/2019;220,3445695;51,25
01/11/2019;227,8466468;49,94
01/12/2019;234,3607395;48,77
01/01/2020;233,9791804;48,22
01/02/2020;214,2990902;48,92
01/03/2020;187,4861256;55,16
01/04/2020;211,2676425;75,81
01/05/2020;220,8342077;72,89
01/06/2020;224,8950098;71,46
01/07/2020;237,2870107;72,01
01/08/2020;253,9124579;71,45
01/09/2020;243,9519907;71,00
01/10/2020;237,202859;68,49
01/11/2020;262,7130024;67,35
01/12/2020;272,4652871;64,17
01/01/2021;277,4422389;63,77
